latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-23.935,-49.154,312,1,1,2018-02-15,0200,T,84,6.0NRT,286.4,13,N
1.051,-60.182,317.3,1.9,1.3,2018-02-15,0205,T,95,6.0NRT,288.9,36.3,N
1.058,-60.171,307.9,1.9,1.3,2018-02-15,0205,T,73,6.0NRT,289.3,17.2,N
1.055,-60.188,311.3,1.9,1.3,2018-02-15,0205,T,82,6.0NRT,288.7,23.5,N
1.236,-60.084,321.5,1.9,1.3,2018-02-15,0205,T,100,6.0NRT,290,44.4,N
1.234,-60.101,313.9,1.9,1.3,2018-02-15,0205,T,88,6.0NRT,289.3,27.4,N
-38.579,-62.635,307.1,1.9,1.3,2018-02-15,0335,T,70,6.0NRT,293.7,17.5,N
-38.114,-61.956,311.5,2.1,1.4,2018-02-15,0335,T,83,6.0NRT,291.7,29.9,N
-38.12,-61.98,316.3,2.1,1.4,2018-02-15,0335,T,93,6.0NRT,292.4,40.6,N
-38.096,-61.933,305.1,2.1,1.4,2018-02-15,0335,T,63,6.0NRT,291.5,19.2,N
-38.102,-61.96,366.3,2.1,1.4,2018-02-15,0335,T,100,6.0NRT,296.8,311.1,N
-38.107,-61.984,331.3,2.1,1.4,2018-02-15,0335,T,100,6.0NRT,294.1,88.1,N
-38.089,-61.963,327.7,2.1,1.4,2018-02-15,0335,T,100,6.0NRT,292,73.2,N
-38.095,-61.989,339.5,2.1,1.4,2018-02-15,0335,T,100,6.0NRT,293.8,121.8,N
-38.099,-62.01,320,2.1,1.4,2018-02-15,0335,T,99,6.0NRT,293.6,47.8,N
-38.082,-61.993,334.6,2.1,1.4,2018-02-15,0335,T,100,6.0NRT,293.1,99.6,N
-38.098,-61.938,322.4,2.1,1.4,2018-02-15,0335,T,100,6.0NRT,292.3,58.2,N
-38.103,-61.965,358,2.1,1.4,2018-02-15,0335,T,100,6.0NRT,296.7,237.4,N
-38.108,-61.988,323.4,2.1,1.4,2018-02-15,0335,T,98,6.0NRT,293.6,56.3,N
-38.091,-61.969,337.2,2.1,1.4,2018-02-15,0335,T,100,6.0NRT,292.7,110.5,N
-38.096,-61.993,337.6,2.1,1.4,2018-02-15,0335,T,100,6.0NRT,294.2,112.2,N
-38.084,-61.998,328.5,2.1,1.4,2018-02-15,0335,T,100,6.0NRT,292.8,77.4,N
-38.071,-62.001,318.3,2.1,1.4,2018-02-15,0335,T,97,6.0NRT,292.2,45.6,N
-38.415,-73.075,308.8,1.2,1.1,2018-02-15,0335,T,76,6.0NRT,288.5,12.9,N
-38.165,-72.434,350.8,1.1,1,2018-02-15,0335,T,100,6.0NRT,289.2,75.4,N
